"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"T459_00201" 0 2 4 4 3 2 4 3 1 5 8 5
"T459_00202" 76 95 69 69 56 45 80 59 52 81 49 34
"T459_00203" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00204" 2 0 2 1 2 0 0 0 0 0 0 0
"T459_00205" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00206" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00207" 2 3 0 9 7 18 5 9 8 13 8 0
"T459_00208" 109 104 114 143 142 160 212 218 221 203 168 217
"T459_00209" 472 668 453 576 545 405 657 661 558 599 569 910
"T459_00210" 20 16 19 18 14 21 19 21 22 13 11 11
"T459_00211" 27 23 26 24 25 40 32 30 34 17 21 14
"T459_00212" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00213" 0 1 0 0 0 0 0 0 0 0 1 0
"T459_00214" 18 21 20 11 14 13 3 8 6 10 7 7
"T459_00215" 98 108 128 169 164 136 136 162 150 93 88 41
"T459_00216" 11 10 5 7 4 4 10 6 7 9 8 8
"T459_00217" 0 0 0 0 0 0 0 1 1 0 0 0
"T459_00218" 9 3 2 2 0 3 14 9 1 762 206 1635
"T459_00219" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00220" 126 145 82 102 99 64 104 143 120 100 97 145
"T459_00221" 9 4 2 1 0 3 2 2 2 1 0 1
"T459_00222" 10 4 7 3 2 5 9 11 4 7 12 6
"T459_00223" 0 0 1 0 0 0 0 0 0 0 0 0
"T459_00224" 14 6 7 11 9 26 10 10 6 8 3 7
"T459_00225" 210 252 114 324 167 283 199 159 177 200 195 165
"T459_00226" 191 213 317 152 130 147 285 278 216 394 360 350
"T459_00227" 13 7 4 5 3 4 10 9 5 56 21 8
"T459_00228" 3 3 0 1 1 2 0 1 0 3 2 2
"T459_00229" 159 159 125 92 60 105 143 157 112 187 165 241
"T459_00230" 0 0 1 0 1 0 0 0 0 0 1 0
"T459_00231" 1 0 0 2 5 4 11 3 3 15 9 5
"T459_00232" 0 1 0 0 0 0 0 0 0 0 0 0
"T459_00233" 0 0 0 2 0 1 0 0 0 3 0 0
"T459_00234" 64 77 66 57 59 103 167 146 102 158 137 155
"T459_00235" 94 106 98 92 86 83 67 79 79 75 91 63
"T459_00236" 0 0 0 2 15 1 0 1 2 0 0 0
"T459_00237" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00238" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00239" 50 55 85 102 85 96 136 145 134 136 115 94
"T459_00240" 350 431 143 72 73 87 71 91 57 43 11 9
"T459_00241" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00242" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00243" 7 1 14 9 3 6 15 21 26 19 144 86
"T459_00244" 0 0 1 4 4 7 6 5 5 5 36 31
"T459_00245" 0 0 0 0 1 0 0 0 0 0 0 0
"T459_00246" 44 42 38 29 31 47 80 56 65 55 60 97
"T459_00247" 209 139 141 53 48 62 40 47 38 52 35 35
"T459_00248" 186 167 138 180 209 216 321 339 313 284 184 240
"T459_00249" 42 56 47 462 530 623 992 870 836 304 281 319
"T459_00250" 2 8 4 15 22 35 48 73 67 25 17 20
"T459_00251" 106 112 89 66 69 75 71 102 73 56 63 39
"T459_00252" 0 1 6 0 0 1 0 0 0 0 1 0
"T459_00253" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00254" 23 21 20 16 18 14 26 27 17 28 6 5
"T459_00255" 136 136 84 123 110 119 160 167 141 139 115 96
"T459_00256" 140 142 185 142 151 181 298 264 256 184 253 207
"T459_00257" 741 770 505 645 609 598 683 745 599 665 615 618
"T459_00258" 109 135 123 136 157 145 43 62 47 40 39 21
"T459_00259" 29 19 16 15 15 21 29 33 22 27 38 25
"T459_00260" 114 119 74 95 79 84 98 133 117 81 68 38
"T459_00261" 234 338 272 492 440 504 496 529 460 509 381 417
"T459_00262" 60 52 63 20 17 28 5 11 13 5 9 6
"T459_00263" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00264" 379 334 357 601 502 622 779 727 739 792 593 334
"T459_00265" 521 577 541 868 857 923 1024 1080 1060 1043 862 571
"T459_00266" 2 3 0 4 2 2 0 2 1 6 3 1
"T459_00267" 97 123 95 87 86 70 85 115 75 206 195 178
"T459_00268" 205 143 67 43 34 73 54 72 46 39 34 52
"T459_00269" 2024 2654 952 7029 7501 4860 3931 5670 4683 80 242 400
"T459_00270" 60 39 28 46 49 37 35 36 30 56 49 52
"T459_00271" 3277 4198 2741 3324 3160 3458 3471 3725 3171 2593 4763 5363
"T459_00272" 562 410 400 569 533 853 673 665 499 479 429 510
"T459_00273" 69 42 43 53 61 143 154 105 122 167 153 158
"T459_00274" 156 187 210 164 133 181 207 227 205 193 230 175
"T459_00275" 127 111 126 100 86 93 156 134 117 74 140 83
"T459_00276" 18 11 13 11 15 16 22 10 10 21 28 26
"T459_00277" 0 0 0 0 0 3 2 1 1 4 1 0
"T459_00278" 0 0 0 0 0 2 0 0 0 0 0 0
"T459_00279" 0 0 0 0 1 0 0 2 0 0 3 0
"T459_00280" 143 154 159 100 104 101 72 90 88 77 48 41
"T459_00281" 0 0 0 0 0 0 0 0 0 0 0 0
"T459_00282" 24 1 0 0 0 1 0 0 0 0 0 1
"T459_00283" 0 0 0 0 0 1 0 0 0 0 0 0
"T459_00284" 62 31 39 41 59 90 148 146 101 186 227 192
"T459_00285" 21 17 24 12 10 22 26 33 23 17 19 12
"T459_00286" 184 173 133 66 53 62 2 14 19 0 4 0
"T459_00287" 44 4 4 10 3 9 11 16 12 13 19 23
"T459_00288" 16 15 25 38 36 33 39 39 47 37 31 19
"T459_00289" 13 3 10 8 14 32 35 39 30 36 29 34
"T459_00290" 0 0 1 0 0 0 0 3 2 0 3 1
