Orthogroup	Duplications (all)	Duplications (50% support)
OG0001248	6	6
OG0001249	6	6
OG0001250	6	6
OG0001251	6	6
OG0001252	6	6
OG0001253	6	6
OG0001254	6	6
OG0001255	6	6
OG0001256	6	6
OG0001257	6	6
OG0001258	6	6
OG0001259	6	6
OG0001260	6	6
OG0001261	6	6
OG0001262	6	6
OG0001263	6	6
OG0001264	6	6
OG0001265	6	6
OG0001266	6	6
OG0001267	6	6
OG0001268	6	6
OG0001269	6	6
OG0001270	6	6
OG0001271	6	6
OG0001272	6	6
OG0001273	4	4
OG0001274	4	4
OG0001275	5	5
OG0001276	5	5
OG0001277	4	4
OG0001278	4	4
OG0001279	4	4
OG0001280	5	5
OG0001281	5	5
OG0001282	3	3
OG0001283	4	4
OG0001284	3	3
OG0001285	4	4
OG0001286	3	3
OG0001287	3	3
OG0001288	4	4
OG0001289	3	3
OG0001290	4	4
OG0001291	5	5
OG0001292	4	4
OG0001293	2	2
OG0001294	4	4
OG0001295	5	5
OG0001296	2	2
OG0001297	3	3
OG0001298	5	5
OG0001299	4	4
OG0001300	4	4
OG0001301	5	5
OG0001302	4	4
OG0001303	5	5
OG0001304	4	4
OG0001305	5	5
OG0001306	4	4
OG0001307	4	4
OG0001308	4	4
OG0001309	5	5
OG0001310	5	5
OG0001311	3	3
OG0001312	3	3
OG0001313	4	4
OG0001314	2	2
OG0001315	4	4
OG0001316	4	4
OG0001317	3	3
OG0001318	4	4
OG0001319	5	5
OG0001320	4	4
OG0001321	3	3
OG0001322	3	3
OG0001323	2	2
OG0001324	3	3
OG0001325	2	2
OG0001326	5	5
OG0001327	5	5
OG0001328	4	4
OG0001329	3	3
OG0001330	3	3
OG0001331	3	3
OG0001332	2	2
OG0001333	3	3
OG0001334	4	4
OG0001335	4	4
OG0001336	4	4
OG0001337	3	3
OG0001338	3	3
OG0001339	4	4
OG0001340	4	4
OG0001341	3	3
OG0001342	3	3
OG0001343	4	4
OG0001344	4	4
OG0001345	4	4
OG0001346	5	5
OG0001347	3	3
OG0001348	3	3
OG0001349	3	3
OG0001350	2	2
OG0001351	4	4
OG0001352	3	3
OG0001353	4	4
OG0001354	4	4
OG0001355	3	3
OG0001356	5	5
OG0001357	4	4
OG0001358	4	4
OG0001359	4	4
OG0001360	5	5
OG0001361	3	3
OG0001362	4	4
OG0001363	3	3
OG0001364	4	4
OG0001365	4	4
OG0001366	4	4
OG0001367	5	5
OG0001368	3	3
OG0001369	3	3
OG0001370	4	4
OG0001371	3	3
OG0001372	2	2
OG0001373	2	2
OG0001374	4	4
OG0001375	4	4
OG0001376	3	3
OG0001377	4	4
OG0001378	5	5
OG0001379	4	4
OG0001380	3	3
OG0001381	2	2
OG0001382	5	5
OG0001383	2	2
OG0001384	4	4
OG0001385	5	5
OG0001386	5	5
OG0001387	2	2
OG0001388	3	3
