"PRS1_1" "PRS1_2" "PRS1_3" "PRS2_1" "PRS2_2" "PRS2_3" "PRMG_1" "PRMG_2" "PRMG_3" "PRB_1" "PRB_2" "PRB_3"
"Solyc00g500228.1" 3 3 3 0 4 5 0 2 3 0 4 0
"Solyc00g500229.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500230.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500231.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500232.1" 0 2 0 0 0 0 0 0 0 0 0 0
"Solyc00g500233.1" 0 0 0 0 0 0 0 0 0 0 0 2
"Solyc00g500234.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500235.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500236.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500237.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g230070.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g230060.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g025300.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g025290.1" 0 0 0 1 0 0 0 0 1 0 0 0
"Solyc00g500238.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g020040.1" 0 2 0 1 2 4 0 9 1 0 0 1
"Solyc00g020030.1" 0 3 0 0 2 2 0 2 0 0 0 0
"Solyc00g020020.2" 6 10 0 1 4 2 2 15 7 1 5 2
"Solyc00g020010.1" 4 6 5 3 1 1 9 7 3 5 6 6
"Solyc00g020000.1" 6 6 3 2 10 4 6 8 9 3 5 6
"Solyc00g019990.1" 3 2 0 1 1 0 2 2 0 0 2 0
"Solyc00g019980.2" 4 16 10 17 8 6 6 12 8 2 4 6
"Solyc00g019970.2" 2 4 5 1 1 3 1 8 4 4 2 1
"Solyc00g019950.1" 2 2 1 0 1 2 0 5 0 1 1 0
"Solyc00g500239.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500240.1" 0 2 0 0 0 1 0 0 0 0 0 0
"Solyc00g500241.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g036530.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500242.1" 1 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500243.1" 0 2 3 0 0 0 1 2 1 0 0 2
"Solyc00g500244.1" 0 0 0 2 1 3 0 2 0 0 0 0
"Solyc00g500245.1" 7 0 0 1 1 2 0 5 1 1 2 0
"Solyc00g500246.1" 0 3 0 0 0 1 0 2 0 0 0 0
"Solyc00g007450.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g016590.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g028960.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500247.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500248.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500249.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500250.1" 0 2 1 2 2 0 0 0 1 1 0 0
"Solyc00g500251.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g500252.1" 0 0 1 0 0 0 0 0 0 0 0 0
"Solyc00g500253.1" 0 0 0 0 0 0 0 0 0 0 0 0
"Solyc00g021650.1" 0 2 0 2 0 0 0 1 1 0 0 0
"Solyc00g021640.2" 6 18 3 15 18 11 6 22 16 6 2 7
